# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
3.60006e-01 1.42000e+01 3.44127e+01
3.60006e-01 1.44000e+01 3.42715e+01
3.60006e-01 1.46000e+01 3.40684e+01
3.60006e-01 1.48000e+01 3.37720e+01
3.60006e-01 1.50000e+01 3.33473e+01
3.60006e-01 1.52000e+01 3.27531e+01
3.60006e-01 1.54000e+01 3.19758e+01
3.60006e-01 1.56000e+01 3.10733e+01
3.60006e-01 1.58000e+01 3.01326e+01
3.60006e-01 1.60000e+01 2.91428e+01
3.60006e-01 1.62000e+01 2.80759e+01
3.60006e-01 1.64000e+01 2.68419e+01
3.60006e-01 1.66000e+01 2.53095e+01
3.60006e-01 1.68000e+01 2.33453e+01
3.60006e-01 1.70000e+01 2.07352e+01
3.60006e-01 1.72000e+01 1.70601e+01
3.60006e-01 1.74000e+01 1.15927e+01
3.60006e-01 1.76000e+01 3.19064e+00
3.60006e-01 1.78000e+01 -9.87953e+00
3.60006e-01 1.80000e+01 -3.04749e+01
3.60006e-01 1.82000e+01 -6.29492e+01
3.60006e-01 1.84000e+01 -3.00000e+02
3.60006e-01 1.86000e+01 -3.00000e+02
3.60006e-01 1.88000e+01 -3.00000e+02
3.60006e-01 1.90000e+01 -3.00000e+02
3.60006e-01 1.92000e+01 -3.00000e+02
3.60006e-01 1.94000e+01 -3.00000e+02
3.60006e-01 1.96000e+01 -3.00000e+02
3.60006e-01 1.98000e+01 -3.00000e+02
3.60006e-01 2.00000e+01 -3.00000e+02
3.89998e-01 1.20000e+01 3.48390e+01
3.89998e-01 1.22000e+01 3.48372e+01
3.89998e-01 1.24000e+01 3.48344e+01
3.89998e-01 1.26000e+01 3.48299e+01
3.89998e-01 1.28000e+01 3.48230e+01
3.89998e-01 1.30000e+01 3.48129e+01
3.89998e-01 1.32000e+01 3.47968e+01
3.89998e-01 1.34000e+01 3.47724e+01
3.89998e-01 1.36000e+01 3.47366e+01
3.89998e-01 1.38000e+01 3.46842e+01
3.89998e-01 1.40000e+01 3.46064e+01
3.89998e-01 1.42000e+01 3.44963e+01
3.89998e-01 1.44000e+01 3.43353e+01
3.89998e-01 1.46000e+01 3.41016e+01
3.89998e-01 1.48000e+01 3.37660e+01
3.89998e-01 1.50000e+01 3.32934e+01
3.89998e-01 1.52000e+01 3.26547e+01
3.89998e-01 1.54000e+01 3.18574e+01
3.89998e-01 1.56000e+01 3.09925e+01
3.89998e-01 1.58000e+01 3.00601e+01
3.89998e-01 1.60000e+01 2.90362e+01
3.89998e-01 1.62000e+01 2.79158e+01
3.89998e-01 1.64000e+01 2.65972e+01
3.89998e-01 1.66000e+01 2.49462e+01
3.89998e-01 1.68000e+01 2.28122e+01
3.89998e-01 1.70000e+01 1.99308e+01
3.89998e-01 1.72000e+01 1.57966e+01
3.89998e-01 1.74000e+01 9.56899e+00
3.89998e-01 1.76000e+01 -5.91988e-02
3.89998e-01 1.78000e+01 -1.50834e+01
3.89998e-01 1.80000e+01 -3.87800e+01
3.89998e-01 1.82000e+01 -7.61748e+01
3.89998e-01 1.84000e+01 -3.00000e+02
3.89998e-01 1.86000e+01 -3.00000e+02
